,name,lr,gpu,time,alpha,block,decay,epoch,wandb,device,fc_out,m2_mlp,method,adjoint,augment,dataset,dropout,max_nfe,not_lcc,raytune,use_mlp,w_style,beta_dim,function,gcn_bias,gcn_symm,patience,alpha_dim,data_norm,gcn_fixed,max_iters,optimizer,rand_seed,step_size,tol_scale,add_source,batch_norm,gcn_params,hidden_dim,label_rate,num_splits,omega_diag,self_loops,time_dep_w,undirected,use_labels,gcn_enc_dec,gcn_non_lin,omega_style,w_diag_init,wandb_group,wandb_sweep,graff_params,omega_params,w_param_free,wandb_entity,XN_activation,input_dropout,target_homoph,w_diag_init_q,w_diag_init_r,wandb_offline,wandb_project,adjoint_method,gcn_params_idx,max_test_steps,omega_diag_val,wandb_run_name,conv_batch_norm,gcn_mid_dropout,geom_gcn_splits,planetoid_split,track_grad_flow,use_best_params,graff_gcn_params,no_alpha_sigmoid,pointwise_nonlin,self_loop_weight,adjoint_step_size,time_dep_struct_w,tol_scale_adjoint,track_grad_flow_switch,std_fwd,_runtime,test_acc_mean,ev_av,T0_WDE,TNr_DE,test_acc_std,TN_WDE,ev_std,RQX0,TN_DE,_wandb,_timestamp,RQXN,_step,T0_DE,train_acc_mean,gf_table,enc_pred_homophil,T0r_DE,av_fwd,num_params,val_acc_mean,pred_homophil,ev_max,ev_min,ev_skew,label_homophil
20,crimson-sweep-4,0.000117,0,2.0,1,constant,0.02737,201,True,cpu,False,False,euler,False,False,Citeseer,0.2224,1000,False,False,False,asymm,sc,graff,False,False,,sc,rw,False,100,adam,7013,0.5,1,True,False,,64,0.5,10,const,True,True,True,False,False,False,diag,uniform,testing,True,,,True,graph_neural_diffusion,False,0.5129,0.80,1,0,False,greed,adaptive_heun,0,100,1,,none,False,True,False,True,True,"[0, 'diag', 'const', 1, True, 'asymm', True, False]",False,True,,1,False,1,True,0.013339882808621606,171.5767321586609,63.85815060343363,0.01858463883399963,499.05426025390625,0.2712455987930298,5.861322420464009,-820.97998046875,1.7215962409973145,0.4377526342868805,2002.101806640625,{'runtime': 171},1681394094.7180102,0.2712455987930298,1,2531.35009765625,74.41777378549618,"{'size': 603, '_type': 'table-file', 'ncols': 6, 'nrows': 5, 'sha256': 'e1dc4d1bb9155ce1304dabcabc9a1d11f86c58a081090bf07959b487096913fa', 'artifact_path': 'wandb-client-artifact://fbgjmb0pjhbi7tz5d4dw31rrq801zg9s8ep57lv01hfyftns49wfv02izcxaobc2gp3w149tjekkwvpzdlcwfx2qenaba7lztaud5j1l6gnih070ogw10mt2auhpi667:latest/gf_table.table.json', '_latest_artifact_path': 'wandb-client-artifact://fbgjmb0pjhbi7tz5d4dw31rrq801zg9s8ep57lv01hfyftns49wfv02izcxaobc2gp3w149tjekkwvpzdlcwfx2qenaba7lztaud5j1l6gnih070ogw10mt2auhpi667:latest/gf_table.table.json', 'path': 'media/table/gf_table_0_e1dc4d1bb9155ce1304d.table.json'}",1.099670171737671,0.4377526044845581,0.0835047310590744,254090,64.26862204152752,1.642184853553772,3.0754103660583496,-3.1217894554138184,0.00907909870147705,1.612581491470337
2,dutiful-sweep-22,0.002105,0,2.008,1,constant,0.01838,201,True,cpu,False,False,euler,False,False,cornell_old,0.2978,1000,True,False,False,asymm,sc,graff,False,False,,sc,rw,False,100,adam,4438,1.0,1,True,False,,256,0.5,10,const,True,True,True,False,False,False,diag,uniform,testing,True,,,True,graph_neural_diffusion,False,0.4421,0.80,1,0,False,greed,adaptive_heun,0,100,1,,none,False,True,False,True,True,"[0, 'diag', 'const', 1, True, 'asymm', True, False]",False,True,,1,False,1,True,0.0005776804459698468,20.39406704902649,80.54054054054053,-2.8193207981530577e-05,15.186525344848633,1.0341451168060305,5.512453528208416,19.584716796875,0.001676601707004011,1.1785935163497925,5030.04150390625,{'runtime': 19},1681403340.903434,1.0341451168060305,1,5332.58984375,100.0,"{'_latest_artifact_path': 'wandb-client-artifact://uxfzsy3sbdu32h9mrea7ygqyqfi704ufyfnfhg74lfmcu7yyn8qg84vk9xjweovbgitru5genqhtvd02asaf50jf1d40uyrwv7w9n8v8ap4rj2d3oim3zrpyo9blj4r0:latest/gf_table.table.json', 'path': 'media/table/gf_table_0_66d9cdaf72a4db250118.table.json', 'size': 373, '_type': 'table-file', 'ncols': 6, 'nrows': 3, 'sha256': '66d9cdaf72a4db2501189beddf28462dcd2eae56f1285726a1081971919ebf15', 'artifact_path': 'wandb-client-artifact://uxfzsy3sbdu32h9mrea7ygqyqfi704ufyfnfhg74lfmcu7yyn8qg84vk9xjweovbgitru5genqhtvd02asaf50jf1d40uyrwv7w9n8v8ap4rj2d3oim3zrpyo9blj4r0:latest/gf_table.table.json'}",0.7625508904457092,1.1785935163497925,0.008567037343978881,634889,86.61016949152544,1.093622803688049,0.009304310195147991,-0.020467206835746765,-12.733638763427734,0.9416553378105164
5,robust-sweep-19,0.002908,0,2.099,1,constant,0.03178,201,True,cpu,False,False,euler,False,False,wisconsin,0.3717,1000,True,False,False,asymm,sc,graff,False,False,,sc,rw,False,100,adam,6941,0.5,1,True,False,,256,0.5,10,const,True,True,True,False,False,False,diag,uniform,testing,True,,,True,graph_neural_diffusion,False,0.3674,0.80,1,0,False,greed,adaptive_heun,0,100,1,,none,False,True,False,True,True,"[0, 'diag', 'const', 1, True, 'asymm', True, False]",False,True,,1,False,1,True,0.0009915234780948,31.929341793060303,83.92156862745097,-0.00024814665084704757,149.1221923828125,1.1301085948944092,4.705882352941176,156.0972137451172,0.01182604767382145,1.1672033071517944,6049.7294921875,{'runtime': 31},1681403213.1271958,1.1301084756851196,1,6317.55078125,98.83333333333331,"{'artifact_path': 'wandb-client-artifact://dmp98oiwbt6s5zhzfzzbn0235uvecnfb2443b6hxwsxxxrukj0b84tvnx7fy7836idxxwxep4wtdk6gr35zga0tqrev3otcgxu209k0oyhzhjndmvpdw079qfdt7blnx:latest/gf_table.table.json', '_latest_artifact_path': 'wandb-client-artifact://dmp98oiwbt6s5zhzfzzbn0235uvecnfb2443b6hxwsxxxrukj0b84tvnx7fy7836idxxwxep4wtdk6gr35zga0tqrev3otcgxu209k0oyhzhjndmvpdw079qfdt7blnx:latest/gf_table.table.json', 'path': 'media/table/gf_table_0_9e695e847c302ef8de69.table.json', 'size': 592, '_type': 'table-file', 'ncols': 6, 'nrows': 5, 'sha256': '9e695e847c302ef8de6910cf6f2d81a53f0213e7cdea73b4b2c8a4df1e478ac4'}",0.5821025371551514,1.1672031879425049,0.014265192031860352,766473,86.37499999999999,0.7940921187400818,0.050735726952552795,-0.14899742603302002,-14.807034492492676,0.7141615748405457
17,hardy-sweep-7,0.00394,0,2.552,1,constant,0.0003348,201,True,cpu,False,False,euler,False,False,Pubmed,0.4232,1000,True,False,False,asymm,sc,graff,False,False,,sc,rw,False,100,adam,2051,0.5,1,True,False,,64,0.5,10,const,True,True,True,False,False,False,diag,uniform,testing,True,,,True,graph_neural_diffusion,False,0.412,0.80,1,0,False,greed,adaptive_heun,0,100,1,,none,False,True,False,True,True,"[0, 'diag', 'const', 1, True, 'asymm', True, False]",False,True,,1,False,1,True,0.020400078639765645,578.1916160583496,88.44320486815415,0.0088418023660779,429.3045654296875,0.17536911368370056,0.4013460230711866,-3775.130859375,0.18561775982379913,0.8153572082519531,24638.64453125,{'runtime': 577},1681395074.056622,0.17536911368370056,1,10430.900390625,90.62031068371552,"{'size': 677, '_type': 'table-file', 'ncols': 6, 'nrows': 6, 'sha256': '01f0667ac464f4c892eb8581dc9553757e77d2fca6949119009f09843120fbcb', 'artifact_path': 'wandb-client-artifact://kcgh70q58wnexdgloztrl8vovqpzaogq5ivev5p4eua5hzne443r6w612ql78c6k643wqm7vqbhwzaj73ruedlicu1d61lt4dphyl5zrar4tlyeb0h6ypt1tqrpyqkcw:latest/gf_table.table.json', '_latest_artifact_path': 'wandb-client-artifact://kcgh70q58wnexdgloztrl8vovqpzaogq5ivev5p4eua5hzne443r6w612ql78c6k643wqm7vqbhwzaj73ruedlicu1d61lt4dphyl5zrar4tlyeb0h6ypt1tqrpyqkcw:latest/gf_table.table.json', 'path': 'media/table/gf_table_0_01f0667ac464f4c892eb.table.json'}",1.515932321548462,0.8153570294380188,0.27745006918907167,57223,88.85261489698891,1.8363678455352783,0.8224149942398071,-0.7108697891235352,1.8813058137893677,1.6766853332519531
8,valiant-sweep-16,0.004,0,2.985,1,constant,0.0089,201,True,cpu,False,False,euler,False,False,texas,0.3293,1000,True,False,False,asymm,sc,graff,False,False,,sc,rw,False,100,adam,6120,0.5,1,True,False,,256,0.5,10,const,True,True,True,False,False,False,diag,uniform,testing,True,,,True,graph_neural_diffusion,False,0.3936,0.80,1,0,False,greed,adaptive_heun,0,100,1,,none,False,True,False,True,True,"[0, 'diag', 'const', 1, True, 'asymm', True, False]",False,True,,1,False,1,True,0.0008088101231036673,28.903693914413452,81.8918918918919,-0.0004911548458039761,418.2270812988281,1.1656503677368164,6.1690336273045,448.0583190917969,0.037202101200819016,1.2150501012802124,6942.9736328125,{'runtime': 28},1681403081.302984,1.1656503677368164,1,7239.95654296875,99.77011494252876,"{'path': 'media/table/gf_table_0_8d08f14f48dae55c79f3.table.json', 'size': 681, '_type': 'table-file', 'ncols': 6, 'nrows': 6, 'sha256': '8d08f14f48dae55c79f39efa8aecd0fc8647bfbf589768cee91f04dfad9e9848', 'artifact_path': 'wandb-client-artifact://dcrlos84zetctz9413vd8b0xjn04koz9wfh6cu94ai648wjm5642qs36hvjs5mw1x6o1bargnzcbhykqy02dadnufoeko22htk3vzht6n88o8ucepyhsefqnrv6vhxf5:latest/gf_table.table.json', '_latest_artifact_path': 'wandb-client-artifact://dcrlos84zetctz9413vd8b0xjn04koz9wfh6cu94ai648wjm5642qs36hvjs5mw1x6o1bargnzcbhykqy02dadnufoeko22htk3vzht6n88o8ucepyhsefqnrv6vhxf5:latest/gf_table.table.json'}",0.5695006847381592,1.2150501012802124,0.01267814612388611,832265,89.66101694915254,1.0877193212509155,0.2057272642850876,-0.39808401465415955,-8.196499824523926,0.5856950283050537
23,genial-sweep-1,0.00261,0,3.0,1,constant,0.04125,201,True,cpu,False,False,euler,False,False,Cora,0.3386,1000,True,False,False,asymm,sc,graff,False,False,,sc,rw,False,100,adam,8352,0.25,1,True,False,,64,0.5,10,const,True,True,True,False,False,False,diag,uniform,testing,True,,,True,graph_neural_diffusion,False,0.5294,0.80,1,0,False,greed,adaptive_heun,0,100,1,,none,False,True,False,True,True,"[0, 'diag', 'const', 1, True, 'asymm', True, False]",False,True,,1,False,1,True,0.00580092470648878,149.13189721107483,67.70623742454728,-0.00044169940520077944,278.5284118652344,0.5604097247123718,2.651435123603902,283.7978820800781,0.02700300514698029,0.569140613079071,3570.37646484375,{'runtime': 148},1681393595.2859242,0.5604097247123718,1,3636.52099609375,80.2265100671141,"{'size': 1453, '_type': 'table-file', 'ncols': 6, 'nrows': 13, 'sha256': '9531e4088ce13543f855a0b5d3a6f6d841dc60ae3125679149e2030f1f78d848', 'artifact_path': 'wandb-client-artifact://4flngudw0opqrxf92mq4115qgqn0y1sjg0lnvwygf3geigad0nj28pre9jdug0z1he7wjre8lnsfwukqkmwim7f5j6ol9aum6nq2ab4xvhlfvlq99wjr7pn8ewgvuvzx:latest/gf_table.table.json', '_latest_artifact_path': 'wandb-client-artifact://4flngudw0opqrxf92mq4115qgqn0y1sjg0lnvwygf3geigad0nj28pre9jdug0z1he7wjre8lnsfwukqkmwim7f5j6ol9aum6nq2ab4xvhlfvlq99wjr7pn8ewgvuvzx:latest/gf_table.table.json', 'path': 'media/table/gf_table_0_9531e4088ce13543f855.table.json'}",0.6469143629074097,0.569140613079071,0.07239363586902618,142155,68.78140703517587,1.4533787965774536,0.06016934663057327,-0.19105398654937744,-10.416728973388672,1.6853362321853638
14,rose-sweep-10,0.001411,0,3.194,1,constant,0.0004295,201,True,cpu,False,False,euler,False,False,chameleon,0.3674,1000,True,False,False,asymm,sc,graff,False,False,,sc,rw,False,100,adam,5668,1.0,1,True,False,,64,0.5,10,const,True,True,True,False,False,False,diag,uniform,testing,True,,,True,graph_neural_diffusion,False,0.4327,0.80,1,0,False,greed,adaptive_heun,0,100,1,,none,False,True,False,True,True,"[0, 'diag', 'const', 1, True, 'asymm', True, False]",False,True,,1,False,1,True,0.007259100358840593,177.78062510490415,60.67982456140351,0.004931898787617683,534.7872314453125,0.8161495923995972,1.757261897154879,5835.203125,0.5584560632705688,1.5702035427093506,41434.7265625,{'runtime': 177},1681396456.7750452,0.8161495923995972,1,35834.91015625,98.14102564102564,"{'sha256': '8bada6f5e393791cb42922e66d5c9fadf319f16d0aaafe1c8cbfb0cfd17c49d6', 'artifact_path': 'wandb-client-artifact://e4xb08agbmetl6j0a62avtwdfpyd7nottdqgb0o8d2lj4ept0ibe36j39t72oonovwze9issb804u9erymle5y6vkgn2lemw7rax8q05tkon8rlzsr7t5glal8v5nufd:latest/gf_table.table.json', '_latest_artifact_path': 'wandb-client-artifact://e4xb08agbmetl6j0a62avtwdfpyd7nottdqgb0o8d2lj4ept0ibe36j39t72oonovwze9issb804u9erymle5y6vkgn2lemw7rax8q05tkon8rlzsr7t5glal8v5nufd:latest/gf_table.table.json', 'path': 'media/table/gf_table_0_8bada6f5e393791cb429.table.json', 'size': 476, '_type': 'table-file', 'ncols': 6, 'nrows': 4}",0.23596179485321045,1.5702037811279297,0.08648900616168975,165833,62.04389574759945,0.5883510708808899,1.9394230842590332,-1.9885904788970947,-0.4633821249008178,0.5137882828712463
11,still-sweep-13,0.0027,0,3.275,1,constant,0.0006,201,True,cpu,False,False,euler,False,False,squirrel,0.159,1000,True,False,False,asymm,sc,graff,False,False,,sc,rw,False,100,adam,6375,1.0,1,False,False,,128,0.5,10,const,True,True,True,False,False,False,diag,uniform,testing,True,,,True,graph_neural_diffusion,False,0.349,0.80,1,0,False,greed,adaptive_heun,0,100,1,,layerwise,False,True,False,True,True,"[0, 'diag', 'const', 1, True, 'asymm', True, False]",False,True,,1,False,1,True,7.403745721078311,2081.3927211761475,55.60999039385207,-0.020298782736063004,97.1458511352539,0.6125062108039856,1.6484832796334052,999337.125,0.8656864762306213,1.6392170190811155,680132.5625,{'runtime': 2080},1681399020.5847292,0.6125062704086304,1,17784.912109375,99.43910256410255,"{'size': 457, '_type': 'table-file', 'ncols': 6, 'nrows': 4, 'sha256': '760f9c64ea7a4d117938e9b8cc3106d2d1895b511cf8e0a3bfee90ff2f2a1af7', 'artifact_path': 'wandb-client-artifact://30ewtct2nx2p3vwhyy6pzor8v9ji3skgje04a5d62f5yba724m9tkj4q9jyyq756jsufpksuzyqjdkrvrh6q909x9o8fhn1mn2pt3p67m946m2nqk4l80ld724b9wxoy:latest/gf_table.table.json', '_latest_artifact_path': 'wandb-client-artifact://30ewtct2nx2p3vwhyy6pzor8v9ji3skgje04a5d62f5yba724m9tkj4q9jyyq756jsufpksuzyqjdkrvrh6q909x9o8fhn1mn2pt3p67m946m2nqk4l80ld724b9wxoy:latest/gf_table.table.json', 'path': 'media/table/gf_table_0_760f9c64ea7a4d117938.table.json'}",0.14554113149642944,1.6392168998718262,1.0299416708946227,334217,56.4483173076923,0.5342679023742676,3.884206295013428,-6.451961994171143,-4.904127597808838,0.464400976896286
19,apricot-sweep-5,0.000117,0,2.0,1,constant,0.02737,201,True,cpu,False,False,euler,False,False,Citeseer,0.2224,1000,False,False,False,sum,sc,graff,False,False,,sc,rw,False,100,adam,2126,0.5,1,True,False,,64,0.5,10,none,True,False,True,False,False,False,zero,uniform,testing,True,,,True,graph_neural_diffusion,True,0.5129,0.80,1,0,False,greed,adaptive_heun,1,100,0,,none,False,True,False,True,True,"[1, 'zero', 'none', 0, False, 'sum', False, True]",False,False,,1,False,1,True,0.014394487046698929,175.83526134490967,75.63480933763952,0.11926812678575516,-6984.9404296875,0.09952788054943083,1.782376134884959,-362739.71875,1.3372899293899536,0.44250598549842834,28536.087890625,{'runtime': 175},1681394286.1103842,0.09952788800001144,1,3122.701171875,84.19744050391465,"{'size': 590, '_type': 'table-file', 'ncols': 6, 'nrows': 5, 'sha256': '29e213b195e93400b73b19f5c628b04f38032e0174cf23d35e716166872de694', 'artifact_path': 'wandb-client-artifact://x1mihjwid919gk6nijfihpdr038suo9phcx1t1s08kby99xnd1w3kegjyajfocqjes602mi6xts77kpcqb4g9sm1b6jqv8ampwlg0m1brqjhsf725uhnxw0ujvhg1xlu:latest/gf_table.table.json', '_latest_artifact_path': 'wandb-client-artifact://x1mihjwid919gk6nijfihpdr038suo9phcx1t1s08kby99xnd1w3kegjyajfocqjes602mi6xts77kpcqb4g9sm1b6jqv8ampwlg0m1brqjhsf725uhnxw0ujvhg1xlu:latest/gf_table.table.json', 'path': 'media/table/gf_table_0_29e213b195e93400b73b.table.json'}",0.8712090849876404,0.44250601530075073,0.08553729546070099,241546,76.1348295961335,1.8886654376983645,2.9718480110168457,-2.3942172527313232,0.2357576489448547,1.612581491470337
1,breezy-sweep-23,0.002105,0,2.008,1,constant,0.01838,201,True,cpu,False,False,euler,False,False,cornell_old,0.2978,1000,True,False,False,sum,sc,graff,False,False,,sc,rw,False,100,adam,5986,1.0,1,True,False,,256,0.5,10,none,True,False,True,False,False,False,zero,uniform,testing,True,,,True,graph_neural_diffusion,True,0.4421,0.80,1,0,False,greed,adaptive_heun,1,100,0,,none,False,True,False,True,True,"[1, 'zero', 'none', 0, False, 'sum', False, True]",False,False,,1,False,1,True,0.0005418906037459558,19.34606409072876,74.5945945945946,0.010870776139199734,-211.8915557861328,0.788799524307251,6.531376201943011,-6444.3056640625,0.15545077621936798,1.2241276502609253,9795.7685546875,{'runtime': 18},1681403379.704467,0.788799524307251,1,2896.74560546875,100.0,"{'sha256': '251a3939a57415ffc0d17ed458d7dd85a28da5c094f7b2845a476676460ad21d', 'artifact_path': 'wandb-client-artifact://1p1m6z2toqipcky794pegx9gae7p5p71rv3onaosgtc8jf54a4hwr51xoelbpjpcwqw6f4dkc3onsy0obtw9to2uf1zxbh79kkuor84tfdivrydeydwp2l0mas1dzbbq:latest/gf_table.table.json', '_latest_artifact_path': 'wandb-client-artifact://1p1m6z2toqipcky794pegx9gae7p5p71rv3onaosgtc8jf54a4hwr51xoelbpjpcwqw6f4dkc3onsy0obtw9to2uf1zxbh79kkuor84tfdivrydeydwp2l0mas1dzbbq:latest/gf_table.table.json', 'path': 'media/table/gf_table_0_251a3939a57415ffc0d1.table.json', 'size': 378, '_type': 'table-file', 'ncols': 6, 'nrows': 3}",0.6051560640335083,1.2241277694702148,0.008092982292175293,503049,83.22033898305085,1.0990501642227173,1.7305762767791748,-0.9401461482048036,12.776689529418944,0.9416553378105164
4,divine-sweep-20,0.002908,0,2.099,1,constant,0.03178,201,True,cpu,False,False,euler,False,False,wisconsin,0.3717,1000,True,False,False,sum,sc,graff,False,False,,sc,rw,False,100,adam,53,0.5,1,True,False,,256,0.5,10,none,True,False,True,False,False,False,zero,uniform,testing,True,,,True,graph_neural_diffusion,True,0.3674,0.80,1,0,False,greed,adaptive_heun,1,100,0,,none,False,True,False,True,True,"[1, 'zero', 'none', 0, False, 'sum', False, True]",False,False,,1,False,1,True,0.000856684891046307,29.18422222137451,83.52941176470587,0.006715424824506044,-274.37420654296875,0.7877544164657593,4.223658672262356,-5279.2509765625,0.12335152924060822,1.3254090547561646,11769.1025390625,{'runtime': 28},1681403256.7132611,0.7877544164657593,1,2764.25,100.0,"{'path': 'media/table/gf_table_0_4ddedaf859872eeda974.table.json', 'size': 587, '_type': 'table-file', 'ncols': 6, 'nrows': 5, 'sha256': '4ddedaf859872eeda97428ea552a0ac91e8284b2067ad2a39ad739ae348ea0b8', 'artifact_path': 'wandb-client-artifact://nnk874vdsglxuqtmjn6cdop45ek5a4mifgvd3q2idh72ocgiijq7rhbhgpmjdj09c8r4uoxwdldmvjubvwi5nojwiubqzmvq76p7lz0ok9ttz66tzzn5083oz5gmvczp:latest/gf_table.table.json', '_latest_artifact_path': 'wandb-client-artifact://nnk874vdsglxuqtmjn6cdop45ek5a4mifgvd3q2idh72ocgiijq7rhbhgpmjdj09c8r4uoxwdldmvjubvwi5nojwiubqzmvq76p7lz0ok9ttz66tzzn5083oz5gmvczp:latest/gf_table.table.json'}",0.6377063393592834,1.325409173965454,0.012976160287857056,503049,86.37500000000001,0.7141615748405457,1.2894457578659058,-0.940030872821808,9.209013938903809,0.7141615748405457
